length,based_on,box_office,budget,cinematography,country,director,distributor,editor,language,music,narration,producer,screenplay,starring,story,written_by,site,title,studio,revenues,check_rev,costs,check_costs,release_dates,release_year,release_month,release_day,stars_list,directors_list
",178300000,<type 'float'>,40000000,<type 'float'>,[2006-04-14 00:00:00],2006,4,14-Apr,"[[, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ], [, , , Anna Faris, Regina Hall, Craig Bierko, Bill Pullman, Anthony Anderson, Carmen Electra, Chris Elliott, Kevin Hart, Cloris Leachman, Michael Madsen, Phil McGraw, Leslie Nielsen, Shaquille O'Neal, Molly Shannon, , , ]]",[[David Zucker]]

114 minutes[2],"The Secret Life of Walter Mitty
by James Thurber",$188.5 million[5],$90 million[4],Stuart Dryburgh,"


United States[3]


",Ben Stiller,"


20th Century Fox


",Greg Hayden,English,Theodore Shapiro featuring Jose Gonzalez,,"


Samuel Goldwyn, Jr.
John Goldwyn
Stuart Cornfeld
Ben Stiller


",Steve Conrad,"


Ben Stiller
Kristen Wiig
Shirley MacLaine
Adam Scott
Kathryn Hahn
Sean Penn


",,,https://en.wikipedia.org/wiki/The_Secret_Life_of_Walter_Mitty_(2013_film),The Secret Life of Walter Mitty,"



Samuel Goldwyn Films
Red Hour Productions
Blind Wink
New Line Cinema[1]
TSG Entertainment



",188500000,<type 'float'>,90000000,<type 'float'>,"[2013-10-05 00:00:00, 2013-12-25 00:00:00, 2013-12-26 00:00:00]",2013,12,26-Dec,"[[, , , Ben Stiller, Kristen Wiig, Shirley MacLaine, Adam Scott, Kathryn Hahn, Sean Penn, , , ], [, , , Ben Stiller, Kristen Wiig, Shirley MacLaine, Adam Scott, Kathryn Hahn, Sean Penn, , , ], [, , , Ben Stiller, Kristen Wiig, Shirley MacLaine, Adam Scott, Kathryn Hahn, Sean Penn, , , ], [, , , Ben Stiller, Kristen Wiig, Shirley MacLaine, Adam Scott, Kathryn Hahn, Sean Penn, , , ], [, , , Ben Stiller, Kristen Wiig, Shirley MacLaine, Adam Scott, Kathryn Hahn, Sean Penn, , , ], [, , , Ben Stiller, Kristen Wiig, Shirley MacLaine, Adam Scott, Kathryn Hahn, Sean Penn, , , ], [, , , Ben Stiller, Kristen Wiig, Shirley MacLaine, Adam Scott, Kathryn Hahn, Sean Penn, , , ], [, , , Ben Stiller, Kristen Wiig, Shirley MacLaine, Adam Scott, Kathryn Hahn, Sean Penn, , , ], [, , , Ben Stiller, Kristen Wiig, Shirley MacLaine, Adam Scott, Kathryn Hahn, Sean Penn, , , ], [, , , Ben Stiller, Kristen Wiig, Shirley MacLaine, Adam Scott, Kathryn Hahn, Sean Penn, , , ], [, , , Ben Stiller, Kristen Wiig, Shirley MacLaine, Adam Scott, Kathryn Hahn, Sean Penn, , , ], [, , , Ben Stiller, Kristen Wiig, Shirley MacLaine, Adam Scott, Kathryn Hahn, Sean Penn, , , ]]",[[Ben Stiller]]

96 minutes[1],,$1.6 million[3][4],Less than $1 million[2],Brett Pawlak,United States,Destin Daniel Cretton,Cinedigm,Nat Sanders,English,Joel P West,,"Maren Olson
Asher Goldstein
Joshua Astrachan
Ron Najor",,"Brie Larson
John Gallagher, Jr.
Kaitlyn Dever
Rami Malek
Keith Stanfield
Kevin Hernandez
Melora Walters",,Destin Daniel Cretton,https://en.wikipedia.org/wiki/Short_Term_12,Short Term 12,"
Demarest Films
Traction Media
Animal Kingdom
",1600000,<type 'float'>,1000000,<type 'float'>,"[2013-03-10 00:00:00, 2013-08-23 00:00:00]",2013,8,23-Aug,"[[Brie Larson, John Gallagher, Jr., Kaitlyn Dever, Rami Malek, Keith Stanfield, Kevin Hernandez, Melora Walters], [Brie Larson, John Gallagher, Jr., Kaitlyn Dever, Rami Malek, Keith Stanfield, Kevin Hernandez, Melora Walters], [Brie Larson, John Gallagher, Jr., Kaitlyn Dever, Rami Malek, Keith Stanfield, Kevin Hernandez, Melora Walters], [Brie Larson, John Gallagher, Jr., Kaitlyn Dever, Rami Malek, Keith Stanfield, Kevin Hernandez, Melora Walters], [Brie Larson, John Gallagher, Jr., Kaitlyn Dever, Rami Malek, Keith Stanfield, Kevin Hernandez, Melora Walters], [Brie Larson, John Gallagher, Jr., Kaitlyn Dever, Rami Malek, Keith Stanfield, Kevin Hernandez, Melora Walters], [Brie Larson, John Gallagher, Jr., Kaitlyn Dever, Rami Malek, Keith Stanfield, Kevin Hernandez, Melora Walters]]",[[Destin Daniel Cretton]]

106 minutes[1],,$66.7 million[3],$30 million[2],"Steven Soderbergh
(as Peter Andrews)",United States,Steven Soderbergh,Open Road Films,"Steven Soderbergh
(as Mary Ann Bernard)",English,Thomas Newman,,"


Lorenzo di Bonaventura
Gregory Jacobs
Scott Z. Burns


",,"


Jude Law
Rooney Mara
Catherine Zeta-Jones
Channing Tatum


",,Scott Z. Burns,https://en.wikipedia.org/wiki/Side_Effects_(2013_film),Side Effects,"
Endgame Entertainment
",66700000,<type 'float'>,30000000,<type 'float'>,[2013-02-08 00:00:00],2013,2,8-Feb,"[[, , , Jude Law, Rooney Mara, Catherine Zeta-Jones, Channing Tatum, , , ], [, , , Jude Law, Rooney Mara, Catherine Zeta-Jones, Channing Tatum, , , ], [, , , Jude Law, Rooney Mara, Catherine Zeta-Jones, Channing Tatum, , , ], [, , , Jude Law, Rooney Mara, Catherine Zeta-Jones, Channing Tatum, , , ], [, , , Jude Law, Rooney Mara, Catherine Zeta-Jones, Channing Tatum, , , ], [, , , Jude Law, Rooney Mara, Catherine Zeta-Jones, Channing Tatum, , , ], [, , , Jude Law, Rooney Mara, Catherine Zeta-Jones, Channing Tatum, , , ], [, , , Jude Law, Rooney Mara, Catherine Zeta-Jones, Channing Tatum, , , ], [, , , Jude Law, Rooney Mara, Catherine Zeta-Jones, Channing Tatum, , , ], [, , , Jude Law, Rooney Mara, Catherine Zeta-Jones, Channing Tatum, , , ]]",[[Steven Soderbergh]]

112 minutes,"A Single Shot
by Matthew F. Jones","$18,642[1]",N/A,Eduard Grau,United States,David M. Rosenthal,,Dan Robinson,English,Atli Ã–rvarsson,,"


Aaron L. Gilbert
Chris Coen
Jeff Rice
Keith Kjarval


",Matthew F. Jones,"


Sam Rockwell
Jeffrey Wright
Kelly Reilly
Jason Isaacs
Joe Anderson
Ophelia Lovibond
Ted Levine
William H. Macy


",,,https://en.wikipedia.org/wiki/A_Single_Shot,A Single Shot,"



A Single Shot Productions
Bron Studios
Demarest Films
Media House Capital
Unanimous Pictures
Unified Pictures



",18642,<type 'float'>,n/a,<type 'unicode'>,"[2013-02-13 00:00:00, 2013-09-20 00:00:00]",2013,9,20-Sep,"[[, , , Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond, Ted Levine, William H. Macy, , , ], [, , , Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond, Ted Levine, William H. Macy, , , ], [, , , Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond, Ted Levine, William H. Macy, , , ], [, , , Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond, Ted Levine, William H. Macy, , , ], [, , , Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond, Ted Levine, William H. Macy, , , ], [, , , Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond, Ted Levine, William H. Macy, , , ], [, , , Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond, Ted Levine, William H. Macy, , , ], [, , , Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond, Ted Levine, William H. Macy, , , ], [, , , Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond, Ted Levine, William H. Macy, , , ], [, , , Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond, Ted Levine, William H. Macy, , , ], [, , , Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond, Ted Levine, William H. Macy, , , ], [, , , Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond, Ted Levine, William H. Macy, , , ], [, , , Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond, Ted Levine, William H. Macy, , , ], [, , , Sam Rockwell, Jeffrey Wright, Kelly Reilly, Jason Isaacs, Joe Anderson, Ophelia Lovibond, Ted Levine, William H. Macy, , , ]]",[[David M. Rosenthal]]

105 minutes[3],"The Smurfs
by Peyo",$347.5 million[4],$105 million[4],Phil Meheux,United States,Raja Gosnell,Columbia Pictures,Sabrina Plisco,English,Heitor Pereira[2],Tom Kane,Jordan Kerner,"J. David Stem
David N. Weiss
Jay Scherick
David Ronn
Karey Kirkpatrick[1]","Hank Azaria
Neil Patrick Harris
Brendan Gleeson
Jayma Mays
Jonathan Winters
Katy Perry
Christina Ricci
J. B. Smoove
Anton Yelchin
George Lopez
John Oliver","J. David Stem
David N. Weiss
Jay Scherick
David Ronn",,https://en.wikipedia.org/wiki/The_Smurfs_2,The Smurfs 2,"
Sony Pictures Animation
Kerner Entertainment Company
",347500000,<type 'float'>,105000000,<type 'float'>,[2013-07-31 00:00:00],2013,7,31-Jul,"[[Hank Azaria, Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Jonathan Winters, Katy Perry, Christina Ricci, J. B. Smoove, Anton Yelchin, George Lopez, John Oliver], [Hank Azaria, Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Jonathan Winters, Katy Perry, Christina Ricci, J. B. Smoove, Anton Yelchin, George Lopez, John Oliver], [Hank Azaria, Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Jonathan Winters, Katy Perry, Christina Ricci, J. B. Smoove, Anton Yelchin, George Lopez, John Oliver], [Hank Azaria, Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Jonathan Winters, Katy Perry, Christina Ricci, J. B. Smoove, Anton Yelchin, George Lopez, John Oliver], [Hank Azaria, Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Jonathan Winters, Katy Perry, Christina Ricci, J. B. Smoove, Anton Yelchin, George Lopez, John Oliver], [Hank Azaria, Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Jonathan Winters, Katy Perry, Christina Ricci, J. B. Smoove, Anton Yelchin, George Lopez, John Oliver], [Hank Azaria, Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Jonathan Winters, Katy Perry, Christina Ricci, J. B. Smoove, Anton Yelchin, George Lopez, John Oliver], [Hank Azaria, Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Jonathan Winters, Katy Perry, Christina Ricci, J. B. Smoove, Anton Yelchin, George Lopez, John Oliver], [Hank Azaria, Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Jonathan Winters, Katy Perry, Christina Ricci, J. B. Smoove, Anton Yelchin, George Lopez, John Oliver], [Hank Azaria, Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Jonathan Winters, Katy Perry, Christina Ricci, J. B. Smoove, Anton Yelchin, George Lopez, John Oliver], [Hank Azaria, Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Jonathan Winters, Katy Perry, Christina Ricci, J. B. Smoove, Anton Yelchin, George Lopez, John Oliver]]",[[Raja Gosnell]]

103 minutes,"The Smurfs
by Peyo",$563.7 million[2],$110 million[1],Phil Meheux,United States,Raja Gosnell,Columbia Pictures,Sabrina Plisco,English,Heitor Pereira,Tom Kane,Jordan Kerner,"J. David Stem
David N. Weiss
Jay Scherick
David Ronn","Hank Azaria
Neil Patrick Harris
Jayma Mays
Sofia Vergara
Tim Gunn
Jonathan Winters
Katy Perry
Fred Armisen
Alan Cumming
Anton Yelchin
George Lopez","J. David Stem
David N. Weiss",,https://en.wikipedia.org/wiki/The_Smurfs_(film),The Smurfs,"
Sony Pictures Animation
Kerner Entertainment Company
",563700000,<type 'float'>,110000000,<type 'float'>,"[2011-06-16 00:00:00, 2011-07-29 00:00:00]",2011,7,29-Jul,"[[Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez], [Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofia Vergara, Tim Gunn, Jonathan Winters, Katy Perry, Fred Armisen, Alan Cumming, Anton Yelchin, George Lopez]]","[[Raja Gosnell], [Raja Gosnell]]"

112 minutes,,$57.8 million[2][3],$15 million[1],Dana Gonzales,United States,Ric Roman Waugh,Summit Entertainment,Jonathan Chibnall,English,Antonio Pinto,,"Dwayne Johnson
Nigel Sinclair
Matt Jackson
Jonathan King
Dany Garcia
Alex Brunner
Tobin Armbrust
Pargat Gill",,"Dwayne Johnson
Barry Pepper
Susan Sarandon
Benjamin Bratt
Jon Bernthal
Michael Kenneth Williams",,"Justin Haythe
Ric Roman Waugh",https://en.wikipedia.org/wiki/Snitch_(film),Snitch,"
Exclusive Media
Participant Media
Image Nation
",57800000,<type 'float'>,15000000,<type 'float'>,[2013-02-22 00:00:00],2013,2,22-Feb,"[[Dwayne Johnson, Barry Pepper, Susan Sarandon, Benjamin Bratt, Jon Bernthal, Michael Kenneth Williams], [Dwayne Johnson, Barry Pepper, Susan Sarandon, Benjamin Bratt, Jon Bernthal, Michael Kenneth Williams], [Dwayne Johnson, Barry Pepper, Susan Sarandon, Benjamin Bratt, Jon Bernthal, Michael Kenneth Williams], [Dwayne Johnson, Barry Pepper, Susan Sarandon, Benjamin Bratt, Jon Bernthal, Michael Kenneth Williams], [Dwayne Johnson, Barry Pepper, Susan Sarandon, Benjamin Bratt, Jon Bernthal, Michael Kenneth Williams], [Dwayne Johnson, Barry Pepper, Susan Sarandon, Benjamin Bratt, Jon Bernthal, Michael Kenneth Williams]]",[[Ric Roman Waugh]]

82 minutes,,"$6,420[1]",,Rogier Stoffers,United States,Neil LaBute,Tribeca Film,Joel Plotch,English,,,"Michael Corrente
Daryl Freimark
Tim Harms
Trent Othick
David Zander",,"Stanley Tucci
Alice Eve",,Neil LaBute,https://en.wikipedia.org/wiki/Some_Velvet_Morning_(film),Some Velvet Morning,,6420,<type 'float'>,,,"[2013-04-21 00:00:00, 2013-12-10 00:00:00]",2013,12,10-Dec,"[[Stanley Tucci, Alice Eve], [Stanley Tucci, Alice Eve]]",[[Neil LaBute]]

107 minutes[1][2],,"$521,181[1]",,Kenny Stoff,United States,Dave Grohl,"


Variance Films
Roswell Films
Gravitas Ventures


",Paul Crowder,English,,,"Dave Grohl
James A. Rota
John Ramsay",,,,Mark Monroe,https://en.wikipedia.org/wiki/Sound_City_(film),Sound City,"
Therapy Content
Diamond Docs
",521181,<type 'float'>,,,"[2013-01-18 00:00:00, 2013-02-01 00:00:00]",2013,2,1-Feb,[],[[Dave Grohl]]

95 minutes[2],"The Spectacular Now
by Tim Tharp",$6.9 million[4],$2.5 million[3],Jess Hall,United States,James Ponsoldt,A24[1],Darrin Navarro,English,Rob Simonsen,,"


Tom McNulty
Shawn Levy
Michelle Krumm
Andrew Lauren


","


Scott Neustadter
Michael H. Weber


","


Miles Teller
Shailene Woodley
Brie Larson
Mary Elizabeth Winstead
Bob Odenkirk
Jennifer Jason Leigh
Kyle Chandler


",,,https://en.wikipedia.org/wiki/The_Spectacular_Now,The Spectacular Now,"
